ASV,Kingdom,Phylum,Class,Order,Family,Genus
ASV_19134,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1
ASV_19135,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
ASV_19136,Bacteria,Chloroflexi,KD4-96,NA,NA,NA
ASV_19137,Eukaryota,Cercozoa,Imbricatea,Marimonadida,Marimonadida_fa,Pseudopirsonia
ASV_19138,Eukaryota,Annelida,Polychaeta,Spionida,NA,NA
ASV_19139,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA
ASV_19140,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
ASV_19141,Bacteria,Schekmanbacteria,NA,NA,NA,NA
ASV_19142,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,Thiogranum
ASV_19143,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Blastopirellula
ASV_19144,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA
ASV_19145,Bacteria,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,NA
ASV_19146,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola
ASV_19147,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Actibacter
ASV_19148,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,MWH-UniP1_aquatic_group
ASV_19149,NA,NA,NA,NA,NA,NA
ASV_19150,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_19151,Eukaryota,Cercozoa,NA,NA,NA,NA
ASV_19152,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Blfdi19,NA
ASV_19153,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1
ASV_19154,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
ASV_19155,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081_sediment_group
ASV_19156,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NA
ASV_19157,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,DEV007,NA
ASV_22998,Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,NA
ASV_22999,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Viridibacillus
ASV_23000,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,NA
ASV_23001,Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,NA
ASV_23002,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,NA
ASV_23003,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,NA
ASV_23004,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
ASV_23005,Bacteria,Actinobacteria,Actinobacteria,NA,NA,NA
ASV_23006,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA
ASV_23007,Bacteria,Firmicutes,Bacilli,Bacillales,NA,NA
ASV_23008,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
ASV_23009,Bacteria,Firmicutes,Bacilli,NA,NA,NA
ASV_23010,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
ASV_23011,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,NA
ASV_23012,Bacteria,Firmicutes,Bacilli,NA,NA,NA
ASV_23013,Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,NA
ASV_23014,Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,NA
ASV_23015,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,NA
ASV_23016,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
ASV_23017,Bacteria,Firmicutes,Bacilli,Bacillales,NA,NA
ASV_23018,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,NA
ASV_23019,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alishewanella
ASV_23020,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
ASV_23021,Bacteria,NA,NA,NA,NA,NA
ASV_23022,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,NA,NA
ASV_23023,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA
